u,mode_n1,mode_n2,mode_n3,mode_n4,mode_n5,mode_n6
0.049012,-1.43542978e-02,-1.49489529e-02,-1.54987028e-02,-1.55270784e-02,-1.49608756e-02,1.31051853e-02
0.050013,-1.43701466e-02,-1.49749498e-02,-1.55070383e-02,-1.54939048e-02,-1.48691868e-02,1.29407970e-02
0.051013,-1.43858922e-02,-1.50004320e-02,-1.55142245e-02,-1.54586665e-02,-1.47745658e-02,1.27724267e-02
0.052013,-1.44015003e-02,-1.50252701e-02,-1.55201905e-02,-1.54210807e-02,-1.46769487e-02,1.25993986e-02
0.053013,-1.44168963e-02,-1.50494119e-02,-1.55247469e-02,-1.53810697e-02,-1.45759302e-02,1.24217594e-02
0.054014,-1.44319941e-02,-1.50728179e-02,-1.55276650e-02,-1.53385875e-02,-1.44709968e-02,1.22397120e-02
0.055014,-1.44467513e-02,-1.50953932e-02,-1.55288546e-02,-1.52934500e-02,-1.43620220e-02,1.20529109e-02
0.056014,-1.44611509e-02,-1.51169945e-02,-1.55282963e-02,-1.52453411e-02,-1.42490886e-02,1.18605572e-02
0.057014,-1.44751516e-02,-1.51375260e-02,-1.55258984e-02,-1.51940685e-02,-1.41320746e-02,1.16622822e-02
0.058015,-1.44886763e-02,-1.51569616e-02,-1.55214635e-02,-1.51396255e-02,-1.40105516e-02,1.14583712e-02
0.059015,-1.45016556e-02,-1.51752657e-02,-1.55148172e-02,-1.50819811e-02,-1.38841531e-02,1.12490287e-02
0.060015,-1.45140588e-02,-1.51923236e-02,-1.55058934e-02,-1.50208945e-02,-1.37528355e-02,1.10337542e-02
0.061015,-1.45258749e-02,-1.52080078e-02,-1.54946903e-02,-1.49560907e-02,-1.36167286e-02,1.08118618e-02
0.062016,-1.45370620e-02,-1.52222561e-02,-1.54811143e-02,-1.48874667e-02,-1.34756952e-02,1.05832516e-02
0.063016,-1.45475469e-02,-1.52350607e-02,-1.54649782e-02,-1.48150623e-02,-1.33293304e-02,1.03483473e-02
0.064016,-1.45572746e-02,-1.52463866e-02,-1.54461464e-02,-1.47388465e-02,-1.31773737e-02,1.01073249e-02
0.065016,-1.45662308e-02,-1.52561301e-02,-1.54246027e-02,-1.46586055e-02,-1.30199079e-02,9.85970799e-03
0.066017,-1.45744061e-02,-1.52641727e-02,-1.54003434e-02,-1.45740852e-02,-1.28570618e-02,9.60489108e-03
0.067017,-1.45817577e-02,-1.52704664e-02,-1.53732671e-02,-1.44852170e-02,-1.26886790e-02,9.34289897e-03
0.068017,-1.45882244e-02,-1.52750278e-02,-1.53432204e-02,-1.43921010e-02,-1.25144290e-02,9.07428605e-03
0.069017,-1.45937628e-02,-1.52778300e-02,-1.53100986e-02,-1.42947228e-02,-1.23341294e-02,8.79924845e-03
0.070018,-1.45983690e-02,-1.52787800e-02,-1.52739123e-02,-1.41928924e-02,-1.21479291e-02,8.51735189e-03
0.071018,-1.46020442e-02,-1.52777818e-02,-1.52346862e-02,-1.40864093e-02,-1.19560183e-02,8.22810611e-03
0.072018,-1.46047547e-02,-1.52748040e-02,-1.51923417e-02,-1.39752433e-02,-1.17582912e-02,7.93162066e-03
0.073018,-1.46064366e-02,-1.52698551e-02,-1.51467097e-02,-1.38594727e-02,-1.15543953e-02,7.62843639e-03
0.074019,-1.46070625e-02,-1.52629397e-02,-1.50977300e-02,-1.37391563e-02,-1.13442378e-02,7.31888782e-03
0.075019,-1.46066366e-02,-1.52539815e-02,-1.50454319e-02,-1.36141422e-02,-1.11280072e-02,7.00262736e-03
0.076019,-1.46051702e-02,-1.52428972e-02,-1.49898657e-02,-1.34842571e-02,-1.09059518e-02,6.67921329e-03
0.077019,-1.46026434e-02,-1.52296669e-02,-1.49309885e-02,-1.33494936e-02,-1.06780496e-02,6.34877360e-03
0.078020,-1.45990098e-02,-1.52143249e-02,-1.48686789e-02,-1.32099872e-02,-1.04440467e-02,6.01193626e-03
0.079020,-1.45942288e-02,-1.51968666e-02,-1.48028299e-02,-1.30657771e-02,-1.02037575e-02,5.66907679e-03
0.080020,-1.45883174e-02,-1.51772537e-02,-1.47335048e-02,-1.29167990e-02,-9.95742374e-03,5.32003304e-03
0.081020,-1.45812999e-02,-1.51554154e-02,-1.46607858e-02,-1.27629049e-02,-9.70536468e-03,4.96439305e-03
0.082021,-1.45731726e-02,-1.51313330e-02,-1.45846737e-02,-1.26040829e-02,-9.44766625e-03,4.60221878e-03
0.083021,-1.45639015e-02,-1.51050498e-02,-1.45050773e-02,-1.24404848e-02,-9.18414521e-03,4.23414223e-03
0.084021,-1.45534577e-02,-1.50766054e-02,-1.44219204e-02,-1.22722515e-02,-8.91465409e-03,3.86075750e-03
0.085021,-1.45418426e-02,-1.50459645e-02,-1.43352130e-02,-1.20993325e-02,-8.63931679e-03,3.48204434e-03
0.086022,-1.45290924e-02,-1.50130723e-02,-1.42450680e-02,-1.19216123e-02,-8.35851397e-03,3.09763927e-03
0.087022,-1.45152274e-02,-1.49779109e-02,-1.41515500e-02,-1.17390710e-02,-8.07248392e-03,2.70748976e-03
0.088022,-1.45002294e-02,-1.49405235e-02,-1.40546109e-02,-1.15518516e-02,-7.78114948e-03,2.31214491e-03
0.089022,-1.44840722e-02,-1.49009740e-02,-1.39541763e-02,-1.13601523e-02,-7.48435139e-03,1.91234802e-03
0.090023,-1.44667584e-02,-1.48592794e-02,-1.38502555e-02,-1.11640457e-02,-7.18216649e-03,1.50839648e-03
0.091023,-1.44483200e-02,-1.48153925e-02,-1.37429437e-02,-1.09634379e-02,-6.87493403e-03,1.10003017e-03
0.092023,-1.44287917e-02,-1.47692750e-02,-1.36323424e-02,-1.07582538e-02,-6.56300365e-03,6.87014635e-04
0.093023,-1.44081840e-02,-1.47209682e-02,-1.35184829e-02,-1.05486170e-02,-6.24648388e-03,2.69717836e-04
0.094024,-1.43864774e-02,-1.46705490e-02,-1.34013069e-02,-1.03347525e-02,-5.92524627e-03,-1.51074613e-04
0.095024,-1.43636656e-02,-1.46180755e-02,-1.32807933e-02,-1.01168345e-02,-5.59926330e-03,-5.74754856e-04
0.096024,-1.43397783e-02,-1.45635448e-02,-1.31570258e-02,-9.89487527e-03,-5.26880571e-03,-1.00129417e-03
0.097024,-1.43148630e-02,-1.45069204e-02,-1.30301399e-02,-9.66879725e-03,-4.93430066e-03,-1.43098044e-03
0.098025,-1.42889445e-02,-1.44481916e-02,-1.29002037e-02,-9.43859719e-03,-4.59600580e-03,-1.86379989e-03
0.099025,-1.42620284e-02,-1.43874425e-02,-1.27672298e-02,-9.20450081e-03,-4.25394395e-03,-2.29910143e-03
0.100025,-1.42341030e-02,-1.43247617e-02,-1.26311778e-02,-8.96675633e-03,-3.90801856e-03,-2.73606403e-03
0.101025,-1.42051817e-02,-1.42601949e-02,-1.24920810e-02,-8.72549904e-03,-3.55834046e-03,-3.17426527e-03
