u,mode_n1,mode_n3,mode_n4,mode_n6,mode_n7,mode_n11
0.735184,2.24770964e-03,2.35416580e-02,-3.85126225e-03,1.04845527e-02,-9.10929398e-03,-1.68731563e-03
0.736184,2.24891779e-03,2.35444424e-02,-3.94493411e-03,1.05950721e-02,-8.88641432e-03,-1.76797320e-03
0.737184,2.25047662e-03,2.35466984e-02,-4.03623092e-03,1.07067414e-02,-8.66334424e-03,-1.85193853e-03
0.738185,2.25243601e-03,2.35484331e-02,-4.12534301e-03,1.08194466e-02,-8.43991789e-03,-1.93818976e-03
0.739185,2.25471973e-03,2.35496855e-02,-4.21203424e-03,1.09334201e-02,-8.21607302e-03,-2.02643517e-03
0.740185,2.25713902e-03,2.35505243e-02,-4.29571871e-03,1.10491940e-02,-7.99180069e-03,-2.11711831e-03
0.741185,2.25972051e-03,2.35509700e-02,-4.37672943e-03,1.11665328e-02,-7.76690246e-03,-2.20903175e-03
0.742186,2.26237126e-03,2.35510725e-02,-4.45502185e-03,1.12854996e-02,-7.54130809e-03,-2.30188003e-03
0.743186,2.26489864e-03,2.35509017e-02,-4.53016593e-03,1.14064805e-02,-7.31498287e-03,-2.39596446e-03
0.744186,2.26733289e-03,2.35504830e-02,-4.60270444e-03,1.15290632e-02,-7.08772660e-03,-2.48988902e-03
0.745186,2.26956637e-03,2.35498644e-02,-4.67265858e-03,1.16532250e-02,-6.85947125e-03,-2.58350973e-03
0.746187,2.27143342e-03,2.35491146e-02,-4.73988103e-03,1.17791145e-02,-6.63020277e-03,-2.67701819e-03
0.747187,2.27298132e-03,2.35482450e-02,-4.80500796e-03,1.19062102e-02,-6.39970785e-03,-2.76890506e-03
0.748187,2.27409995e-03,2.35473050e-02,-4.86815576e-03,1.20344018e-02,-6.16799073e-03,-2.85932162e-03
0.749187,2.27466901e-03,2.35463424e-02,-4.92936315e-03,1.21636537e-02,-5.93502557e-03,-2.94832021e-03
0.750188,2.27476981e-03,2.35453552e-02,-4.98938922e-03,1.22933278e-02,-5.70064968e-03,-3.03443192e-03
0.751188,2.27428709e-03,2.35443838e-02,-5.04829275e-03,1.24233376e-02,-5.46492757e-03,-3.11817868e-03
0.752188,2.27317749e-03,2.35434495e-02,-5.10635519e-03,1.25534283e-02,-5.22784084e-03,-3.19939198e-03
0.753188,2.27154536e-03,2.35425338e-02,-5.16430707e-03,1.26829664e-02,-4.98929995e-03,-3.27686701e-03
0.754189,2.26927529e-03,2.35416656e-02,-5.22211955e-03,1.28119155e-02,-4.74942400e-03,-3.35146106e-03
0.755189,2.26642896e-03,2.35408320e-02,-5.28029576e-03,1.29398329e-02,-4.50821721e-03,-3.42273693e-03
0.756189,2.26309068e-03,2.35400048e-02,-5.33938168e-03,1.30662035e-02,-4.26565606e-03,-3.48993657e-03
0.757189,2.25918801e-03,2.35391949e-02,-5.39928514e-03,1.31910533e-02,-4.02193612e-03,-3.55417202e-03
0.758190,2.25486025e-03,2.35383568e-02,-5.46067270e-03,1.33137742e-02,-3.77703395e-03,-3.61461555e-03
0.759190,2.25015912e-03,2.35374619e-02,-5.52372401e-03,1.34341598e-02,-3.53106570e-03,-3.67135282e-03
0.760190,2.24507229e-03,2.35364955e-02,-5.58843403e-03,1.35521492e-02,-3.28420193e-03,-3.72521196e-03
0.761190,2.23979062e-03,2.35353914e-02,-5.65542485e-03,1.36671726e-02,-3.03645845e-03,-3.77535677e-03
0.762191,2.23430665e-03,2.35341266e-02,-5.72449684e-03,1.37793311e-02,-2.78804122e-03,-3.82261086e-03
0.763191,2.22871151e-03,2.35326549e-02,-5.79584935e-03,1.38883987e-02,-2.53907017e-03,-3.86718623e-03
0.764191,2.22316140e-03,2.35309133e-02,-5.86978030e-03,1.39940784e-02,-2.28963323e-03,-3.90873055e-03
0.765191,2.21763051e-03,2.35288759e-02,-5.94591081e-03,1.40966134e-02,-2.03996289e-03,-3.94833545e-03
0.766192,2.21229636e-03,2.35264776e-02,-6.02457626e-03,1.41956946e-02,-1.79012411e-03,-3.98561314e-03
0.767192,2.20721240e-03,2.35236705e-02,-6.10560714e-03,1.42913876e-02,-1.54029781e-03,-4.02105320e-03
0.768192,2.20240925e-03,2.35204239e-02,-6.18870697e-03,1.43839173e-02,-1.29065165e-03,-4.05528802e-03
0.769192,2.19806118e-03,2.35166653e-02,-6.27413887e-03,1.44730080e-02,-1.04125199e-03,-4.08789175e-03
0.770193,2.19412494e-03,2.35123797e-02,-6.36129350e-03,1.45591357e-02,-7.92324198e-04,-4.11999411e-03
0.771193,2.19073250e-03,2.35075101e-02,-6.45023764e-03,1.46422171e-02,-5.43923356e-04,-4.15128007e-03
0.772193,2.18792701e-03,2.35020226e-02,-6.54071449e-03,1.47224306e-02,-2.96192240e-04,-4.18218729e-03
0.773193,2.18569097e-03,2.34959015e-02,-6.63222983e-03,1.48001770e-02,-4.92734402e-05,-4.21336434e-03
0.774194,2.18415887e-03,2.34890941e-02,-6.72487970e-03,1.48753535e-02,1.96812279e-04,-4.24429177e-03
0.775194,2.18324218e-03,2.34816095e-02,-6.81798181e-03,1.49485245e-02,4.41886670e-04,-4.27610699e-03
0.776194,2.18303302e-03,2.34734077e-02,-6.91148567e-03,1.50197215e-02,6.85944029e-04,-4.30832609e-03
0.777194,2.18350313e-03,2.34644925e-02,-7.00501514e-03,1.50892700e-02,9.28902526e-04,-4.34139006e-03
0.778195,2.18461204e-03,2.34548605e-02,-7.09810729e-03,1.51575467e-02,1.17067432e-03,-4.37575697e-03
0.779195,2.18641499e-03,2.34445022e-02,-7.19074636e-03,1.52245980e-02,1.41131070e-03,-4.41082432e-03
0.780195,2.18878386e-03,2.34334437e-02,-7.28226413e-03,1.52909755e-02,1.65067997e-03,-4.44764916e-03
0.781195,2.19176926e-03,2.34216806e-02,-7.37270010e-03,1.53566885e-02,1.88887461e-03,-4.48542763e-03
0.782196,2.19526277e-03,2.34092435e-02,-7.46155083e-03,1.54221672e-02,2.12582854e-03,-4.52477151e-03
0.783196,2.19922345e-03,2.33961538e-02,-7.54862965e-03,1.54876034e-02,2.36157760e-03,-4.56557050e-03
0.784196,2.20361847e-03,2.33824329e-02,-7.63379744e-03,1.55531482e-02,2.59617694e-03,-4.60748264e-03
0.785196,2.20831046e-03,2.33681276e-02,-7.71660341e-03,1.56192010e-02,2.82959281e-03,-4.65112633e-03
0.786197,2.21331548e-03,2.33532569e-02,-7.79720950e-03,1.56856830e-02,3.06196556e-03,-4.69558281e-03
0.787197,2.21846124e-03,2.33378767e-02,-7.87508214e-03,1.57530535e-02,3.29324767e-03,-4.74158687e-03
0.788197,2.22374969e-03,2.33220166e-02,-7.95046191e-03,1.58211770e-02,3.52359007e-03,-4.78832006e-03
0.789197,2.22904148e-03,2.33057273e-02,-8.02298760e-03,1.58903715e-02,3.75299314e-03,-4.83607126e-03
0.790198,2.23428067e-03,2.32890542e-02,-8.09276338e-03,1.59606090e-02,3.98156327e-03,-4.88450664e-03
0.791198,2.23939428e-03,2.32720370e-02,-8.15975564e-03,1.60319432e-02,4.20937056e-03,-4.93332664e-03
0.792198,2.24426507e-03,2.32547338e-02,-8.22386302e-03,1.61045045e-02,4.43646554e-03,-4.98266138e-03
0.793198,2.24888111e-03,2.32371743e-02,-8.28536214e-03,1.61780949e-02,4.66297141e-03,-5.03179252e-03
0.794199,2.25309086e-03,2.32194215e-02,-8.34402577e-03,1.62529358e-02,4.88889860e-03,-5.08110572e-03
0.795199,2.25691772e-03,2.32014987e-02,-8.40031215e-03,1.63286825e-02,5.11439298e-03,-5.12971071e-03
0.796199,2.26021134e-03,2.31834655e-02,-8.45400279e-03,1.64055339e-02,5.33944544e-03,-5.17803915e-03
0.797199,2.26300435e-03,2.31653424e-02,-8.50559316e-03,1.64831165e-02,5.56419543e-03,-5.22523567e-03
0.798200,2.26517545e-03,2.31471785e-02,-8.55498147e-03,1.65615161e-02,5.78863134e-03,-5.27162185e-03
0.799200,2.26674899e-03,2.31289935e-02,-8.60259872e-03,1.66404111e-02,6.01286327e-03,-5.31652294e-03
0.800200,2.26765160e-03,2.31108219e-02,-8.64851661e-03,1.67197332e-02,6.23688921e-03,-5.36005565e-03
0.801200,2.26788960e-03,2.30926822e-02,-8.69305279e-03,1.67992434e-02,6.46077492e-03,-5.40180519e-03
0.802201,2.26744388e-03,2.30745929e-02,-8.73644428e-03,1.68787325e-02,6.68453123e-03,-5.44165197e-03
0.803201,2.26630396e-03,2.30565700e-02,-8.77890304e-03,1.69580324e-02,6.90817559e-03,-5.47945665e-03
0.804201,2.26450057e-03,2.30386156e-02,-8.82078418e-03,1.70368344e-02,7.13172776e-03,-5.51488481e-03
0.805201,2.26201361e-03,2.30207419e-02,-8.86222232e-03,1.71150164e-02,7.35515980e-03,-5.54804043e-03
0.806202,2.25891482e-03,2.30029358e-02,-8.90363760e-03,1.71922152e-02,7.57849344e-03,-5.57843329e-03
0.807202,2.25518205e-03,2.29852035e-02,-8.94511236e-03,1.72683335e-02,7.80166152e-03,-5.60634970e-03
0.808202,2.25091832e-03,2.29675192e-02,-8.98708713e-03,1.73429912e-02,8.02468072e-03,-5.63121841e-03
0.809202,2.24610538e-03,2.29498815e-02,-9.02960809e-03,1.74161034e-02,8.24745135e-03,-5.65344132e-03
